[DEBUG] 2015-07-20 01:48:04.044 	 ForexBot version [v0.2.10 S] started.
[DEBUG] 2015-07-20 01:48:04.047 	 Initiating settings check...
[DEBUG] 2015-07-20 01:48:04.048 	 Settings found! Loading.
[DEBUG] 2015-07-20 01:48:04.053 	 User settings loaded.
[DEBUG] 2015-07-20 01:48:04.853 	 Credentials test - OK!
[DEBUG] 2015-07-20 01:48:04.853 	 Database connection settings loaded.
[DEBUG] 2015-07-20 01:48:05.032 	 Main frame created.
[DEBUG] 2015-07-20 01:48:08.348 	 xStation user [400826] logged in.
[DEBUG] 2015-07-20 01:48:08.351 	 User settings saved.
[DEBUG] 2015-07-20 01:48:09.677 	 Start button pressed.
[DEBUG] 2015-07-20 01:48:10.313 	 Connected to the database 91.121.193.177
[DEBUG] 2015-07-20 01:48:10.314 	 Uploader thread crated.
[DEBUG] 2015-07-20 01:48:10.315 	 [AI] Machine learning module started - initializing evolutionary tree...
[DEBUG] 2015-07-20 01:48:10.315 	 Main window log posted. [[AI] Machine learning module started.]
[DEBUG] 2015-07-20 01:48:10.317 	 Preparing database..
[DEBUG] 2015-07-20 01:48:10.32 	 Loading form dbc...
[DEBUG] 2015-07-20 01:48:10.381 	 Table created or already existed [EURUSD]
[DEBUG] 2015-07-20 01:48:10.381 	 Main window log posted. [Database integrity - OK]
[DEBUG] 2015-07-20 01:48:10.382 	 Database integrity - OK
[DEBUG] 2015-07-20 01:48:10.384 	 Symbol cache created!
[DEBUG] 2015-07-20 01:48:10.384 	 Main window log posted. [Variables initialized.]
[DEBUG] 2015-07-20 01:48:10.385 	 Variables initialized.
[DEBUG] 2015-07-20 01:48:10.385 	 Indicators periods set:  Stochastic 5/3/3
[DEBUG] 2015-07-20 01:48:10.385 	 Main window log posted. [Market currenlty closed - waiting]
[DEBUG] 2015-07-20 01:48:10.386 	 Main window log posted. [Cycle started...]
[DEBUG] 2015-07-20 01:48:10.386 	 Cycle started...
[DEBUG] 2015-07-20 01:48:10.443 	 Parsing ResultSet...
[DEBUG] 2015-07-20 01:48:10.443 	 [1] rows returned.
[DEBUG] 2015-07-20 01:48:10.636 	 Parsing downloaded listings...
[DEBUG] 2015-07-20 01:48:10.661 	 Loading complete.
[DEBUG] 2015-07-20 01:48:16.663 	 Main window log posted. [[AI] Creating initial generation.]
[DEBUG] 2015-07-20 01:48:16.663 	 [AI] Creating initial generation.
[DEBUG] 2015-07-20 01:48:16.664 	 ID [1] evaluation = 0 values: 2/2/1
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 0 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [2] evaluation = 0 values: 3/3/1
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 1 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [3] evaluation = 0 values: 4/4/2
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 2 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [4] evaluation = 0 values: 5/5/2
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 3 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [5] evaluation = 0 values: 6/6/3
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 4 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [6] evaluation = 0 values: 7/7/3
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 5 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [7] evaluation = 0 values: 8/8/4
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 6 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [8] evaluation = 0 values: 9/9/4
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 7 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [9] evaluation = 0 values: 10/10/5
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 8 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [10] evaluation = 0 values: 11/11/5
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 9 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [11] evaluation = 0 values: 12/12/6
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 10 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [12] evaluation = 0 values: 13/13/6
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 11 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [13] evaluation = 0 values: 14/14/7
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 12 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [14] evaluation = 0 values: 15/15/7
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 13 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [15] evaluation = 0 values: 16/16/8
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 14 created
[DEBUG] 2015-07-20 01:48:16.664 	 ID [16] evaluation = 0 values: 17/17/8
[DEBUG] 2015-07-20 01:48:16.664 	 Controller 15 created
[DEBUG] 2015-07-20 01:48:16.665 	 ID [17] evaluation = 0 values: 18/18/9
[DEBUG] 2015-07-20 01:48:16.665 	 Controller 16 created
[DEBUG] 2015-07-20 01:48:16.665 	 ID [18] evaluation = 0 values: 19/19/9
[DEBUG] 2015-07-20 01:48:16.665 	 Controller 17 created
